perturbation_type,ell,a_over_M,ratio_name,numerator_overtone,denominator_overtone,value_real,value_imag,schwarzschild_value_real,schwarzschild_value_imag,fractional_shift_abs,fractional_real_shift,validation_max
scalar,3,0.0,omega0_over_omega2,0,2,0.734810503630961,0.4229190582194375,0.734810503630961,0.4229190582194375,0.0,0.0,5.717530994281813e-09
scalar,3,0.2,omega0_over_omega2,0,2,0.7339409776182259,0.42346289705823564,0.734810503630961,0.4229190582194375,0.0012096727560284909,-0.0011833336737002494,6.749811652112841e-09
scalar,3,0.5,omega0_over_omega2,0,2,0.7294992666892519,0.42620372213122937,0.734810503630961,0.4229190582194375,0.007365740865968881,-0.007228036229020106,3.822904680427064e-08
scalar,3,1.0,omega0_over_omega2,0,2,0.7151151195970884,0.43465619204636835,0.734810503630961,0.4229190582194375,0.027042685068614344,-0.026803351253895644,9.381428039120406e-09
scalar,3,0.0,real_to_damping_n0,0,,6.998640807176911,0.0,6.998640807176911,0.0,0.0,0.0,4.1970000564771457e-14
scalar,3,0.2,real_to_damping_n0,0,,6.98305010718736,0.0,6.998640807176911,0.0,0.0022276754042818395,-0.0022276754042818395,3.637513774822398e-13
scalar,3,0.5,real_to_damping_n0,0,,6.904669731051282,0.0,6.998640807176911,0.0,0.013427046581568302,-0.013427046581568302,1.7595246298900246e-13
scalar,3,1.0,real_to_damping_n0,0,,6.664464710726612,0.0,6.998640807176911,0.0,0.04774871373704597,-0.04774871373704597,6.619785404933111e-14
scalar,3,0.0,real_to_damping_n1,1,,2.2603691042046563,0.0,2.2603691042046563,0.0,0.0,0.0,5.305159796009103e-11
scalar,3,0.2,real_to_damping_n1,1,,2.254866074175486,0.0,2.2603691042046563,0.0,0.0024345714241686286,-0.0024345714241686286,7.273143079311922e-11
scalar,3,0.5,real_to_damping_n1,1,,2.227177578684658,0.0,2.2603691042046563,0.0,0.014684117500215556,-0.014684117500215556,1.9561506217434798e-10
scalar,3,1.0,real_to_damping_n1,1,,2.1420754733643785,0.0,2.2603691042046563,0.0,0.05233376735694727,-0.05233376735694727,7.887570520720627e-11
scalar,3,0.0,real_to_damping_n2,2,,1.2774501890409142,0.0,1.2774501890409142,0.0,0.0,0.0,5.717530994281813e-09
scalar,3,0.2,real_to_damping_n2,2,,1.2738225769623517,0.0,1.2774501890409142,0.0,0.0028397287891797104,-0.0028397287891797104,6.749811652112841e-09
scalar,3,0.5,real_to_damping_n2,2,,1.2555493293895186,0.0,1.2774501890409142,0.0,0.01714419852866311,-0.01714419852866311,3.822904680427064e-08
scalar,3,1.0,real_to_damping_n2,2,,1.1991594702699087,0.0,1.2774501890409142,0.0,0.061286709605315244,-0.061286709605315244,9.381428039120406e-09
scalar,4,0.0,omega0_over_omega1,0,1,0.9429179710899092,0.20785097750575351,0.9429179710899092,0.20785097750575351,0.0,0.0,1.4329415127939906e-11
scalar,4,0.2,omega0_over_omega1,0,1,0.9427065956944239,0.20827092887354529,0.9429179710899092,0.20785097750575351,0.000486919514955244,-0.00022417156313277935,2.6018278591170056e-11
scalar,4,0.5,omega0_over_omega1,0,1,0.9416243615624671,0.21040690530043274,0.9429179710899092,0.20785097750575351,0.002966838206349818,-0.0013719215956259625,7.533114094433817e-11
scalar,4,1.0,omega0_over_omega1,0,1,0.9380909599746164,0.2172192145196672,0.9429179710899092,0.20785097750575351,0.010914641481196308,-0.005119226977626929,2.570484311862887e-11
scalar,4,0.0,omega0_over_omega2,0,2,0.823573384117424,0.3687534383767132,0.823573384117424,0.3687534383767132,0.0,0.0,2.4082341318366355e-09
scalar,4,0.2,omega0_over_omega2,0,2,0.822952802481053,0.369357401520795,0.823573384117424,0.3687534383767132,0.0009596661766905363,-0.0007535231812233246,3.190321199625765e-09
