ell,overtone,a_over_M,spectral_N,center_real,center_imag,initial_eigenvalue_real,initial_eigenvalue_imag,residual_norm,selection_score,eigenvector_overlap_previous_a,half_width,grid_size,min_log10_relative_sigma,q10_susceptibility,q50_susceptibility,q10_log10_sigma_min,q50_log10_sigma_min,area_fraction_m10,area_fraction_m9_5,area_fraction_m9,boundary_touch_m10,curvature_trace_indicator,eigen_condition_indicator,nearest_eigenvalue_distance,hit_minimizer_boundary
1,1,0.0,32,0.26444850889902083,-0.30625786404348754,0.26444850889902083,-0.30625786404348754,3.4259975634494114e-19,0.012605907440434067,,0.02023158997381291,21,-19.79935093828053,11.89984430905409,11.607040099725412,-10.565627104093116,-10.273276530286408,1.0,1.0,1.0,True,7191122.611935613,421032.8305503667,0.21053412604386473,False
1,1,0.1,32,0.264175411844466,-0.30619563179983933,0.264175411844466,-0.30619563179983933,1.6611710610879822e-19,0.002251235105415271,0.9999999595362854,0.020220312383621576,21,-20.11344017297473,11.903127739688543,11.610270848113748,-10.569194002521359,-10.276790651890957,1.0,1.0,1.0,True,7503210.956956414,423678.23535352864,0.21050133243210867,False
1,1,0.2,32,0.263361077097303,-0.30600915074563934,0.263361077097303,-0.30600915074563934,1.9852147851674715e-19,0.005168064748536755,0.9999996399763895,0.02018666993772865,21,-20.03519901672277,11.912932759937236,11.619918853739929,-10.579847062999859,-10.287286416048648,1.0,1.0,1.0,True,7441799.9232560415,431679.4876173012,0.21040298511576574,False
1,1,0.35,32,0.26115927389907473,-0.30549812028817597,0.26115927389907473,-0.30549812028817597,1.111512345649801e-19,0.009658592470055388,0.9999973636270697,0.020095600752596376,21,-20.284778222207567,11.9395530107621,11.64710048753213,-10.608781394695344,-10.316271592984549,1.0,1.0,1.0,True,7730201.750122526,454190.57345676515,0.21013289907807797,False
1,1,0.5,32,0.25786057882866836,-0.3047136957035816,0.25786057882866836,-0.3047136957035816,1.4941624836315945e-19,0.013307258698627594,0.9999940647739368,0.019958864851438246,21,-20.152769163439764,11.979736948897473,11.688173740843986,-10.652490968324912,-10.36087103054012,1.0,1.0,1.0,True,7663512.57741227,490468.60054279584,0.20971674386771522,False
1,1,0.75,32,0.25026535879407014,-0.3028201856798306,0.25026535879407014,-0.3028201856798306,3.281872541732556e-19,0.02944493825453355,0.9999683527224817,0.019642607685048576,21,-19.802650529791094,12.073670344337627,11.780613066857018,-10.754819374258721,-10.462290855831952,1.0,1.0,1.0,True,7451755.647889269,587293.5892133315,0.20870496916057898,False
1,1,1.0,32,0.2406492920241558,-0.30024301712494583,0.2406492920241558,-0.30024301712494583,8.288576753603289e-20,0.03808329506788058,0.9999488264437056,0.01923914960984619,21,-20.389077568434175,12.195532344724327,11.902546861022847,-10.887896407934901,-10.594970864402514,1.0,1.0,1.0,True,8269387.374222213,742788.592117844,0.2073135111026492,False
1,2,0.0,32,0.229486700097681,-0.5402070637233259,0.229486700097681,-0.5402070637233259,3.852739376078396e-19,0.014328910601547774,,0.029346542267288517,21,-19.744618040526404,14.434757339848263,14.149027777117322,-13.104267784568856,-12.818766864937606,1.0,1.0,1.0,True,2213185.081922885,218724059.48728728,0.23654715408454685,False
1,2,0.1,32,0.22919465946553624,-0.5401340255067417,0.22919465946553624,-0.5401340255067417,3.248702805861494e-19,0.0031833836119170996,0.9999999836247967,0.02933747421974328,21,-19.818393390012243,14.438895994913203,14.153075844860231,-13.108690764673678,-12.82309918432629,1.0,1.0,1.0,True,2246931.728695563,220585453.14994392,0.2365392675374676,False
1,2,0.2,32,0.22830517319229876,-0.5399159530398611,0.22830517319229876,-0.5399159530398611,1.8510848957057712e-19,0.004289058536562968,0.9999998475719565,0.029310087361406268,21,-20.06182654897353,14.45158826051798,14.165562446905374,-13.122233598999282,-12.836436129293256,1.0,1.0,1.0,True,2358596.995276965,226426244.6864417,0.23651915051028113,False
1,2,0.35,32,0.22591411889247026,-0.5393144215244846,0.22591411889247026,-0.5393144215244846,7.218812952147896e-20,0.007099070234392985,0.9999989024651309,0.029235989566767307,21,-20.46846636621251,14.48580439740259,14.199703662707508,-13.158770685404443,-12.872592384870261,1.0,1.0,1.0,True,2544934.7584479386,242943815.86363837,0.2364577841291502,False
1,2,0.5,32,0.22235611723690932,-0.5383790483050322,0.22235611723690932,-0.5383790483050322,1.4000913576439161e-19,0.010128774924640014,0.9999975805193924,0.02912448465323062,21,-20.177240139033582,14.537005131513206,14.25169869354364,-13.213507385948347,-12.928123918029916,1.0,1.0,1.0,True,2403110.7702249805,269930911.03019077,0.236347337195241,False
