perturbation_type,ell,overtone,mode,confidence_tier,a_over_M,spectral_N,spectral_real,spectral_imag,leaver_real,leaver_imag,spectral_leaver_relative_difference,continued_fraction_abs,polynomial_backward_error_raw,schwarzschild_literature_real,schwarzschild_literature_imag,literature_relative_error,literature_tolerance,spectral_leaver_validation_passed,literature_validation_passed,literature_source
gravitational,2,2,second overtone,exploratory_diagnostic,0.5,32,0.2914169630599255,-0.47575243978939363,0.2914164333513081,-0.4757457571931693,1.2015469154339846e-05,1.7104310355346834e-09,3.526480494419321e-21,,,,,True,,
gravitational,2,0,fundamental,robust_quantitative,1.0,32,0.34548795616901395,-0.0864700530527649,0.3454879561713115,-0.08647005305062835,8.809462883071715e-12,2.190307557189146e-13,1.395081408426451e-20,,,,,True,,
gravitational,2,1,first overtone,validated_low_lying,1.0,32,0.31616400240409503,-0.2669182212798275,0.3161639975111328,-0.2669182361628639,3.786340005890857e-08,2.2138670258704984e-10,4.7330985341607395e-21,,,,,True,,
gravitational,2,2,second overtone,exploratory_diagnostic,1.0,32,0.2661706203216734,-0.46853049963797927,0.2661706203216734,-0.46853049963797927,0.0,2.792682492698255e-05,6.997017503007357e-21,,,,,True,,
gravitational,3,0,fundamental,robust_quantitative,0.0,32,0.5994432884375469,-0.09270304794495451,0.5994432884374902,-0.09270304794494758,9.422696215805236e-14,5.661048867003676e-16,2.9920832400175616e-20,0.599443288,-0.092703048,7.269416491833337e-10,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
gravitational,3,1,first overtone,validated_low_lying,0.0,32,0.5826438029649645,-0.28129811342534666,0.5826438030332994,-0.28129811343504396,1.0667707823714203e-10,3.885780586188048e-16,1.2474479628470268e-20,0.582643804,-0.281298113,1.638469954516626e-09,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
gravitational,3,2,second overtone,exploratory_diagnostic,0.0,32,0.5516848956579499,-0.4790927665196845,0.551684900778451,-0.4790927509669616,2.240936466319818e-08,1.3732700395566711e-15,1.4596913207896184e-20,0.551684837,-0.479092791,1.0305760995253617e-07,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
gravitational,3,0,fundamental,robust_quantitative,0.2,32,0.5974160623009769,-0.09259362980187183,0.5974160623007057,-0.0925936298018977,4.506801958147117e-13,7.850462293418876e-16,1.4044964008839474e-20,,,,,True,,
gravitational,3,1,first overtone,validated_low_lying,0.2,32,0.5805547597220929,-0.2809811817404405,0.5805547597932427,-0.2809811817329841,1.1091789538771235e-10,5.4672143489065705e-16,1.4652519801693365e-20,,,,,True,,
gravitational,3,2,second overtone,exploratory_diagnostic,0.2,32,0.5494797892473716,-0.4786048631691202,0.5494797955849484,-0.47860484820686405,2.229905609286553e-08,1.1801832636420706e-15,1.6898152531125128e-21,,,,,True,,
gravitational,3,0,fundamental,robust_quantitative,0.5,32,0.5871635814093223,-0.09202711928261363,0.5871635814093505,-0.09202711928243466,3.048399464959931e-13,3.3984432745746066e-15,1.572583627063187e-20,,,,,True,,
gravitational,3,1,first overtone,validated_low_lying,0.5,32,0.5699908815976276,-0.27933914656449094,0.5699908817345729,-0.2793391464837658,2.504368224874599e-10,4.208968418036948e-13,2.0109122088449348e-20,,,,,True,,
