perturbation_type,ell,overtone,mode,a_over_M,leaver_real,leaver_imag,schwarzschild_real,schwarzschild_imag,delta_real,fractional_real_shift,damping,schwarzschild_damping,delta_damping,fractional_damping_shift,quality_factor,fractional_quality_shift,complex_shift_abs,fractional_complex_shift,spectral_leaver_relative_difference
gravitational,4,1,first overtone,0.5,0.7799096780950937,-0.28235468611444486,0.7966315320345024,-0.2843343494048407,-0.016721853939408726,-0.020990700552240376,0.28235468611444486,0.2843343494048407,-0.001979663290395839,-0.00696244859103237,1.3810815198919317,-0.014126607741373047,0.016838630167393665,0.019907269961971796,7.43848407952179e-11
gravitational,4,1,first overtone,1.0,0.7362390717936736,-0.2767022790309613,0.7966315320345024,-0.2843343494048407,-0.06039246024082878,-0.07580977881529948,0.2767022790309613,0.2843343494048407,-0.007632070373879418,-0.026841886637525916,1.3303812935188961,-0.05031853663386603,0.06087279977241011,0.07196614251656738,2.298115770414292e-11
gravitational,4,2,second overtone,0.0,0.77270953260671,-0.4799081751211634,0.77270953260671,-0.4799081751211634,0.0,0.0,0.4799081751211634,0.4799081751211634,0.0,0.0,0.8050597725404682,0.0,0.0,0.0,2.807762221168071e-09
gravitational,4,2,second overtone,0.2,0.7698599205776621,-0.4793984490963362,0.77270953260671,-0.4799081751211634,-0.0028496120290479876,-0.0036878178782587495,0.4793984490963362,0.4799081751211634,-0.000509726024827184,-0.0010621324062639534,0.8029436912330905,-0.0026284772628747343,0.0028948418499947647,0.0031825058871844,3.808349060741258e-09
gravitational,4,2,second overtone,0.5,0.7554513717358383,-0.4767529239114273,0.77270953260671,-0.4799081751211634,-0.01725816087087173,-0.022334603292199457,0.4767529239114273,0.4799081751211634,-0.0031552512097360874,-0.006574697772004977,0.7922881369430138,-0.015864207892479717,0.017544222035799396,0.019287613212826408,1.3589802490677995e-08
gravitational,4,2,second overtone,1.0,0.7104175020792383,-0.46772044154739545,0.77270953260671,-0.4799081751211634,-0.06229203052747179,-0.08061506672155536,0.46772044154739545,0.4799081751211634,-0.012187733573767956,-0.025395969907557617,0.7594467110833445,-0.05665798119956477,0.06347312751787663,0.06978053118999018,5.1398572333597516e-09
scalar,2,0,fundamental,0.0,0.48364387221071303,-0.09675877597828782,0.48364387221071303,-0.09675877597828782,0.0,0.0,0.09675877597828782,0.09675877597828782,0.0,0.0,2.4992248368212113,0.0,0.0,0.0,7.913528165069764e-13
scalar,2,0,fundamental,0.2,0.48203368791957835,-0.09665386072221566,0.48364387221071303,-0.09675877597828782,-0.0016101842911346864,-0.0033292767336730866,0.09665386072221566,0.09675877597828782,-0.00010491525607216057,-0.0010842970574132006,2.4936080375772516,-0.002247416543404638,0.001613598668310556,0.0032715079948557983,6.084073632980392e-13
scalar,2,0,fundamental,0.5,0.4738869263710777,-0.09610918270358437,0.48364387221071303,-0.09675877597828782,-0.009756945839635323,-0.020173822930985953,0.09610918270358437,0.09675877597828782,-0.0006495932747034444,-0.006713533404444987,2.4653571752483763,-0.013551266406231647,0.00977854608518654,0.01982561855312381,6.219483207098473e-13
scalar,2,0,fundamental,1.0,0.44836240900203495,-0.09424817915891738,0.48364387221071303,-0.09675877597828782,-0.03528146320867809,-0.07294926129717762,0.09424817915891738,0.09675877597828782,-0.0025105968193704364,-0.02594696753846702,2.3786263724311576,-0.04825434775345947,0.03537067630869869,0.07171265854384898,6.341136312121044e-13
scalar,2,1,first overtone,0.0,0.4638505790197655,-0.2956039369879625,0.4638505790197655,-0.2956039369879625,0.0,0.0,0.2956039369879625,0.2956039369879625,0.0,0.0,0.7845811929065314,0.0,0.0,0.0,1.8142844205909435e-09
scalar,2,1,first overtone,0.2,0.46216558699247906,-0.2953112973489303,0.4638505790197655,-0.2956039369879625,-0.0016849920272864471,-0.0036326181393311285,0.2953112973489303,0.2956039369879625,-0.00029263963903219947,-0.0009899720619895407,0.7825057678819498,-0.002645264815605678,0.001710215217553565,0.0031092815445071635,1.7882961564609665e-09
scalar,2,1,first overtone,0.5,0.45364274584456094,-0.2937901797474656,0.4638505790197655,-0.2956039369879625,-0.010207833175204573,-0.02200672724560639,0.2937901797474656,0.2956039369879625,-0.001813757240496927,-0.006135768213976075,0.772052262322894,-0.01596894075069927,0.010367717852076323,0.018849179591695867,1.8081830764410907e-09
scalar,2,1,first overtone,1.0,0.426971489573508,-0.2885729134534649,0.4638505790197655,-0.2956039369879625,-0.03687908944625751,-0.0795063995051864,0.2885729134534649,0.2956039369879625,-0.0070310235344975824,-0.023785283802846977,0.7397982791658669,-0.05707874996947515,0.037543342023955734,0.06825621668902596,1.7472980192219998e-09
